Country;Year;Percentage
FR;2019;37
FR;2024;46
BR;2019;30
BR;2024;46
ES;2019;26
ES;2024;44
US;2019;40
US;2024;43
CA;2019;28
CA;2024;41
DE;2019;26
DE;2024;41
ZA;2019;28
ZA;2024;40
GB;2019;30
GB;2024;38
DK;2019;20
DK;2024;36
JP;2019;20
JP;2024;21
Tendencia;2019;28
Tendencia;2024;40
